key	english	french
JC_Gorm_2105	"I just need to... cast it." (Look over your spell slots.)	« J'ai juste besoin de... le lancer. » (Vérifier tes emplacements de sort.)
JC_Gorm_2108	"I just need to prepare it." (Look for a shrine.)	« J'ai juste besoin de le préparer. » (Chercher un sanctuaire.)
JC_Gorm_2242	"You're a <i>much better</i> lottery corpse, Snell." (Prendre une profonde inspiration.)	« T'es un <i>bien meilleur</i> cadavre-loterie, Snell. » (Prendre une profonde inspiration.)
JC_Urth_118	(Show him the strange sword you got from the Deck of Many Things.) "You know anything about this blade?"	(Lui montrer l'étrange épée obtenue du Jeu des Mille Choses.) « Vous savez quelque chose sur cette lame ? »
JC_Urth_175	(Take off your Spent Ring of Spell Storing.) "Is... this yours?"	(Retirer ton Anneau de Réserve de Sorts Épuisé.) « Est-ce... à vous ? »
JC_Urth_219	(Lean over to Snell and whisper.) "He's been watching us."	(Se pencher vers Snell et chuchoter.) « Il nous observe. »
JC_Urth_484	(Turn to Snell.)"You have something to ask?"	(Se tourner vers Snell.) « T'as une question à poser ? »
JC_Urth_633	(Point at your scarf.) "Meek?"	(Pointer ton écharpe.) « Meek ? »
JC_Urth_1257	"I am- <i>we</i> are ready." (Leave?)	« Je suis — <i>nous</i> sommes prêts. » (Partir ?)
JC_Urth_1477	"Snell, I think I'm a time traveler." (Mumble to yourself and feel awful.)	« Snell, je crois que je suis un voyageur temporel. » (Marmonner pour toi-même et te sentir mal.)
LL_Intro_50	You answer. <>	Tu réponds. <>
LL_Intro_54	You answer. <>	Tu réponds. <>
LL_Intro_58	You answer. <>	Tu réponds. <>
LL_Intro_62	You answer. <>	Tu réponds. <>
LL_Intro_65	You answer. <>	Tu réponds. <>
LL_Intro_67	You say nothing. <>	Tu ne dis rien. <>
LL_Intro_70	You answer. <>	Tu réponds. <>
LL_Intro_73	You answer. <>	Tu réponds. <>
LL_Intro_76	You say nothing. <>	Tu ne dis rien. <>
LL_Intro_77	Another question from the darkness.	Une autre question depuis les ténèbres.
LL_Zombie_33	(Lean back.) "Zombies aren't, like, allowed, right?"	(Se reculer.) « Les zombies, c'est pas autorisé, hein ? »
LL_Zombie_162	Hold up a closed fist and say, "Here, look at this," then quickly try to trip him.	Lever un poing fermé et dire : « Tiens, regarde ça », puis tenter rapidement de le faire trébucher.
LL_ZombieCheck_52	...I'll just go check out the shrine. (Deescalate this internal struggle.)	...Je vais juste aller voir le sanctuaire. (Désamorcer cette lutte intérieure.)
LP_Lisa_126	"Me Barbarian. Me fight and eat unprocessed meats." (Grogner.)	« Moi Barbare. Moi battre et manger viandes non transformées. » (Grogner.)
LP_Lisa_149	(Point towards the dancing goblin in a cage on her shelf.) "Is that Smarter?"	(Pointer le gobelin dansant dans une cage sur son étagère.) « C'est Smarter ? »
LP_Lisa_247	Ses yeux s'agrandissent. "The... what?"	Ses yeux s'agrandissent. « La... quoi ? »
LP_Lisa_432	(Whisper to Snell.) "Do you think we should... take her to the stockade or something?"	(Chuchoter à Snell.) « Tu penses qu'on devrait... l'emmener au pilori ou un truc du genre ? »
LP_Lisa_469	"C'est l'heure. I'm taking you to the stockade, <b>hag</b>!" (Start encounter.)	« C'est l'heure. Je t'emmène au pilori, <b>mégère</b> ! » (Démarrer la rencontre.)
LP_Lisa_1147	(Whisper to Snell.) "Hags are the best."	(Chuchoter à Snell.) « Les mégères sont les meilleures. »
LP_Lisa_1191	"I already have some, actually." (Hand them over.)	« J'en ai déjà, en fait. » (Les lui remettre.)
LP_Lisa_1198	"Yes I have." (Hand them over.)	« Oui, j'en ai. » (Les lui remettre.)
OP_Efreeti_128	"You want it, Snell?" (Show him the bottle.)	« Tu la veux, Snell ? » (Lui montrer la bouteille.)
OP_EverGlad_272	"See you later, master." (Partir.)	« À plus tard, maître. » (Partir.)
OP_EverGlad_459	(Reveal...) "I am... responsible for my father's death."	(Révéler...) « Je suis... responsable de la mort de mon père. »
OP_EverGlad_471	(Reveal your failed political aspirations.) "I'm the one who wrote the anonymous Freestrider op-ed about corruption in the Towers. <i>The Yellow Ribbon</i>."	(Révéler tes aspirations politiques avortées.) « C'est moi qui ai écrit la tribune anonyme des Errants sur la corruption dans les Tours. <i>Le Ruban Jaune</i>. »
OP_EverGlad_477	(Reveal a childhood trauma.) "I once ate an entire bucket of apples to make the other kids think I was cool."	(Révéler un traumatisme d'enfance.) « Un jour, j'ai mangé un seau entier de pommes pour que les autres gosses me trouvent cool. »
OP_EverGlad_486	(Reveal how you found out your esoteric talent.) "I was in a classroom once..."	(Révéler comment tu as découvert ton talent ésotérique.) « J'étais dans une salle de classe un jour... »
OP_EverGlad_502	(Reveal your failed Azgalist past.) "I was arrested during the Apprentice Rebellion."	(Révéler ton passé Azgaliste avorté.) « J'ai été arrêté pendant la Rébellion des Apprentis. »
OP_EverGlad_512	(Reveal a teenage trauma.) "I used to hang with a bunch of older kids. One day, they all started avoiding me, so I once spent an entire night at a dance house hoping for them to turn up."	(Révéler un traumatisme d'adolescence.) « Je traînais avec un groupe d'ados plus vieux. Un jour, ils ont tous commencé à m'éviter, alors j'ai passé une nuit entière dans une maison de danse en espérant qu'ils se pointent. »
OP_Isk_40	(Talk into the door.) "Hello-oo!"	(Parler dans la porte.) « Hé-ho ! »
OP_Isk_192	"Hold on, my Comprehend Languages spell seems to be acting up..." (Fiddle with your notes.)	« Attendez, mon sort de Compréhension des Langues semble dérailler... » (Tripoter tes notes.)
OP_Isk_538	"I call it Merevesh. You may call it Staff of Toulin'catl, as remembrance of my fallen people. It will be returned to me once you are finished with all of this."	« Je l'appelle Merevesh. Tu peux l'appeler Bâton de Toulin'catl, en mémoire de mon peuple tombé. Il me sera rendu une fois que tu en auras fini avec tout ceci. »
OP_Isk_637	(Imagine the snail talking to Visken.) "Enfin... I could see it."	(Imaginer l'escargot parler à Visken.) « Enfin... je pourrais le voir. »
OP_Isk_829	"Bien. Thank you, that should be every question I have about les Fils."	« Bien. Merci, ce devrait être toutes les questions que j'ai sur les Fils. »
OP_Isk_896	"A talking wall." (Think about your amazing wall-speechcraft.)	« Un mur qui parle. » (Penser à ton incroyable maîtrise de la parlance murale.)
OP_Isk_906	"The Living Library, in the City Below." (Think about that strange place in the City Below.)	« La Bibliothèque Vivante, dans la Cité Inférieure. » (Penser à cet étrange lieu dans la Cité Inférieure.)
PC_AzgalDoor_152	"I've got Snell with me." (Point at the goblin.)	« J'ai Snell avec moi. » (Pointer le gobelin.)
PC_AzgalDoor_234	"I've got Snell with me." (Point at the goblin.)	« J'ai Snell avec moi. » (Pointer le gobelin.)
Q_Youth_138	Does that means I'm a... (<i>Gasp</i>.) ...a woman?!	Ça veut dire que je suis une... (<i>Hoquet</i>.) ...une femme ?!
RM_Rollo_138	"You're the best help, Snell. Don't you worry." (Lui lever le pouce.)	« T'es la meilleure aide, Snell. T'inquiète. » (Lui lever le pouce.)
RM_Rollo_523	"You're leaving. One way or another." (Fight them.)	« Vous partez. D'une façon ou d'une autre. » (Les combattre.)
RM_Rollo_690	(Grab Rollo by the shoulders.) "You gotta <i>pussy up</i>, man."	(Attraper Rollo par les épaules.) « Faut que tu <i>te bouges le cul</i>, mec. »
RM_Rollo_1085	"The Urthguard is a good place for guys your age. You'll learn a lot." (Point towards Urth-Nisse.) "And you could be a cleric, instead of a future arsonist."	« La Garde-d'Urth est un bon endroit pour les gars de ton âge. Tu apprendras beaucoup. » (Pointer vers Urth-Nisse.) « Et tu pourrais être clerc, au lieu d'un futur incendiaire. »
RM_Rollo_1228	"Take the Urthguard recommendation I gave you, and go. Now." (Make them leave.)	« Prends la recommandation pour la Garde-d'Urth que je t'ai donnée, et va-t'en. Maintenant. » (Les faire partir.)
RM_StressCube_78	(Whisper to your scarf.) "Always assume the worst. Expect the terrible. And <i>feel</i> the <i>heat</i>."	(Chuchoter à ton écharpe.) « Suppose toujours le pire. Attends-toi à l'horrible. Et <i>sens</i> la <i>chaleur</i>. »
SH_Modissa_841	(Lean in and whisper.) "What about an elf?"	(Se pencher et chuchoter.) « Et un elfe ? »
Snell_Companion_210	"It's late. You can head off if you want to." (Go solo.)	« C'est tard. Tu peux y aller si tu veux. » (Partir en solo.)
Snell_Companion_211	"It's getting late. Let's split up for the night." (Go solo.)	« Il se fait tard. Séparons-nous pour la nuit. » (Partir en solo.)
Snell_Companion_212	"I have some stuff to take care of by myself." (Go solo.)	« J'ai des trucs à régler seul. » (Partir en solo.)
Snell_Companion_213	"I think I can handle this alone actually." (Go solo.)	« Je crois que je peux gérer ça seul en fait. » (Partir en solo.)
Snell_NPC_18	"You ready to head out?" (Have Snell join the party.)	« Prêt à y aller ? » (Faire rejoindre Snell.)
SO_Snurre_45	(Lean over to Snell.) "Should I have an invoice?"	(Se pencher vers Snell.) « Je devrais avoir une facture ? »
SO_Snurre_1316	A NECROTIC SPELL, NOT UNLIKE THAT OF LICHDOM WAS UNDERTAKEN.	UN SORT NÉCROTIQUE, NON SANS RAPPELER CELUI DE LA LICHANCE, FUT ENTREPRIS.
SP_Snell_33	"That's good information. Merci."	« C'est une bonne information. Merci. »
SP_Snell_56	"I live on North Wall. In a nice city-sponsored apartment." (Avoid the full truth.)	« J'habite sur Mur-Nord. Dans un bel appartement subventionné par la cité. » (Éviter la pleine vérité.)
SP_Snell_225	"This is much less... gobliny than I expected." (Be less nice.)	« C'est beaucoup moins... gobelin que ce à quoi je m'attendais. » (Être moins gentil.)
ST_PebbleOfSending_20	(Send a message to Snell and explain where you are.) "Can you come meet up with me?"	(Envoyer un message à Snell et expliquer où tu es.) « Tu peux venir me rejoindre ? »
ST_PebbleOfSending_44	(Send a message to Snell.) "Hey. You up?"	(Envoyer un message à Snell.) « Hé. T'es debout ? »
ST_PebbleOfSending_50	(Send a message to Snell.) "Hey. You up?"	(Envoyer un message à Snell.) « Hé. T'es debout ? »
ST_PebbleOfSending_55	(Send a message to Ettir.) "Hey, Ettir. What're you doing?"	(Envoyer un message à Ettir.) « Hé, Ettir. Qu'est-ce que vous faites ? »
ST_PebbleOfSending_61	(Send a message to Lady Sageleaf.) "Hi, Lady Sageleaf. I'm working on the tea shop. Just wanted to check in and let you know that everything's going good."	(Envoyer un message à Lady Sageleaf.) « Bonjour, Lady Sageleaf. Je travaille sur le salon de thé. Je voulais juste prendre des nouvelles et vous dire que tout va bien. »
ST_PebbleOfSending_69	(Send a message to Ever-Glad.) "Hello. Just checking in. How you doing?"	(Envoyer un message à Ever-Glad.) « Bonjour. Je prends des nouvelles. Comment vas-tu ? »
ST_PebbleOfSending_79	(Send a message to Olzis.) "Hey Olzis. Got any cool riddles that fit into 30 words or less?"	(Envoyer un message à Olzis.) « Hé Olzis. T'aurais des énigmes cool qui tiennent en 30 mots ou moins ? »
ST_PebbleOfSending_118	(Send a message to Visken.) "It's the Cleric. I'm just calling to let you know I've got a Pebble of Sending. Cool, huh?"	(Envoyer un message à Visken.) « C'est Le Clerc. Je vous appelle juste pour vous dire que j'ai un Caillou de Message. Cool, hein ? »
ST_PebbleOfSending_124	(Send a message to Oyugüi.) "Hello, miss merchant. I can send pebble messages now. Isn't that cool? Anyway, do you have any new wares?"	(Envoyer un message à Oyugüi.) « Bonjour, marchande. Je peux envoyer des messages cailloux maintenant. Cool, non ? Bref, vous avez de nouvelles marchandises ? »
TE_BrokenTeaCups_21	I'll stop looking at the cups, Je crois.	J'arrête de regarder les tasses, je crois.
TE_HiddenTeaShopSafe_66	Leave the safe. Pour l'instant.	Laisser le coffre. Pour l'instant.
TE_Rubble_87	He nods and <>	Il acquiesce et <>
TE_Rubble_89	He ignores your comment and <>	Il ignore ton commentaire et <>
TE_Rubble_90	looks around at the destruction. "The mass produced shit they used in the Coast War... it wouldn't get close to this level of force."	regarde autour la destruction. « La merde produite en masse qu'ils utilisaient dans la Guerre de la Côte... ça n'approcherait pas ce niveau de force. »
TE_ScorchedZines_76	"...Is it any good?" (Glance at the magazine.)	« ...C'est bien ? » (Jeter un œil au magazine. )
TS_Alfoz_199	"I spoke with Agent Viira..." (Make a decision.)	« J'ai parlé avec l'Agent Viira... » (Prendre une décision.)
TS_Alfoz_200	"I checked out the papers." (Return the PPG.)	« J'ai vérifié les papiers. » (Rendre le PPG.)
TS_Arn_Kiosk_103	"Okay. Sure, thanks, citizen." What a weird kid.	« D'accord. Bien sûr, merci, citoyen. » Quel gamin bizarre.
TS_Arn_Kiosk_128	(Smile as you put the three coins in your pouch.) "Pay a man enough and he'll walk barefoot into hell."	(Sourire en mettant les trois pièces dans ta bourse.) « Payez assez un homme et il marchera pieds nus en enfer. »
TS_Arn_Kiosk_481	(Clear your throat and hand him nine additional crowns.) "A tip."	(S'éclaircir la gorge et lui tendre neuf écus supplémentaires.) « Un pourboire. »
TS_Bike_46	"Hey, Meek." (Talk to your scarf.)	« Hé, Meek. » (Parler à ton écharpe.)
TS_Bike_135	C'est tout. That's all I remember.	C'est tout. C'est tout ce dont je me souviens.
TS_Ettir_43	(Whisper back to Meek.) "<i>What?</i>"	(Chuchoter en retour à Meek.) « <i>Quoi ?</i> »
TS_Ettir_179	(Take a step forward.) "Don't disrespect me, angel."	(Faire un pas en avant.) « Ne me manquez pas de respect, ange. »
TS_FlowerYard_75	"So what was your errand, Snell?" (Wipe the dirt off your uniform.)	« Alors c'était quoi ta course, Snell ? » (Essuyer la saleté de ton uniforme.)
TS_GardenMonument_33	"Tell me your secrets, damn it!" (Punch the monument.)	« Dis-moi tes secrets, sapristi ! » (Frapper le monument.)
TS_GoboGrafitti_10	"Is that you, Snell?" (Point at the artwork.)	« C'est toi, Snell ? » (Pointer l'œuvre.)
TS_GoboGrafitti_43	(Hiss at Meek.) "Don't be rude to the wall."	(Siffler à Meek.) « Sois pas impoli envers le mur. »
TS_Kull_88	(Turn to your companion.) "Do you know?"	(Se tourner vers ton compagnon.) « Tu sais ? »
TS_Kull_595	"Merci. I invented boots, you know."	« Merci. J'ai inventé les bottes, vous savez. »
TS_Pocket_50	(Ask your scarf.) "Why did your old master play with esoteric pockets?"	(Demander à ton écharpe.) « Pourquoi ton ancien maître jouait avec des poches ésotériques ? »
TS_Pocket_60	"You can head home. I'll deal with this myself." (Go solo.)	« Tu peux rentrer. Je gère ça seul. » (Partir en solo.)
TS_Pocket_86	Pas la peine. (Leave the forming pocket alone. It'll probably disappear when you're not looking.)	Pas la peine. (Laisser la poche en formation tranquille. Elle disparaîtra sans doute quand tu ne regardes pas.)
TS_Pocket_176	"During my Urthguard training, I spent six months in the Great Steam Pit militia..." (Tell the Gremlin Story.)	« Pendant ma formation à la Garde-d'Urth, j'ai passé six mois dans la milice du Grand Puits de Vapeur... » (Raconter l'Histoire du Gremlin.)
TS_Pocket_177	"Speaking of gremlins..." (Tell the Gremlin Story.)	« En parlant de gremlins... » (Raconter l'Histoire du Gremlin.)
TS_Pocket_510	what...?	quoi... ?
TS_Potion_48	(Turn to Snell.) "<i>You</i> a copper?"	(Se tourner vers Snell.) « <i>Toi</i> un flic ? »
TS_Potion_187	"That's all for now, potion seller. Merci."	« C'est tout pour l'instant, marchand de potions. Merci. »
TS_Rollermill_115	"I'm... not sure." (Examiner le bâton.)	« Je... ne suis pas sûr. » (Examiner le bâton.)
TS_Seagull_132	Lie down and curl up into a little ball and shout, "I do not consent!"	S'allonger et se recroqueviller en petite boule et crier : « Je ne consens pas ! »
TS_Spear_1	This spear. It would be a great weapon.	Cette lance. Ce serait une arme formidable.
TS_Spear_2	Do you think you deserve it?	Penses-tu la mériter ?
TS_Spear_4	You really think you could hit something with it?	Tu crois vraiment que tu pourrais toucher quelque chose avec ?
TS_Spear_7	It's a damn spear! You've been looking for ages, and been completely unable to find even a SINGLE useful weapon.	C'est une foutue lance ! Tu cherches depuis des lustres, et tu n'as même pas été fichu de trouver UNE SEULE arme utile.
TS_Spear_8	Now you have one! Right here! Just TAKE it!	Maintenant t'en as une ! Juste là ! PRENDS-la !
TS_Spear_10	"Master could poke self full of holes. No good."	« Maître pourrait se cribler de trous. Pas bon. »
TS_Spear_11	"I'm going to poke myself. I'm an adult. Actually, Meek, I'm a highly trained Cleric. I'm not going to <i>poke</i> myself."	« Je vais me piquer. Je suis adulte. En fait, Meek, je suis un Clerc hautement entraîné. Je ne vais pas me <i>piquer</i>. »
TS_Spear_13	...Should I take it?	...Devrais-je la prendre ?
TS_Spear_15	But you would not be able to use it.	Mais tu ne pourrais pas l'utiliser.
TS_Spear_16	This is a far too massive of a lance for you.	C'est une lance bien trop massive pour toi.
TS_Spear_18	This is the weapon of the local landlord. A skewer of the sea itself.	C'est l'arme du propriétaire local. Une brochette de la mer elle-même.
TS_Spear_19	You cannot dishonor it. You cannot wield it.	Tu ne peux pas la déshonorer. Tu ne peux pas la manier.
TS_Spear_20	No. Let's just walk away.	Non. Partons.
TS_Spear_22	You are, at times, probably most of the time, the most stubborn iron-fuck human on the Coast.	Tu es, parfois, probablement la plupart du temps, l'humain le plus têtu-fer de toute la Côte.
TS_Spear_23	Fine. Repars. Don't take the awesome weapon that will absolutely help on your adventure. That sounds FUN. That sounds like you're giving yourself a great sense of AGENCY.	D'accord. Repars. Ne prends pas l'arme géniale qui t'aidera absolument dans ton aventure. Ça a l'air FUN. Ça a l'air comme si tu te donnais un grand sens d'AGENCE.
TS_Spear_25	Fine. It's not like you won't find another, much better weapon in some other spot.	D'accord. C'est pas comme si tu n'allais pas trouver une autre arme, bien meilleure, ailleurs.
TS_TeaShopDoor_116	Turn to Snell. "The Tea Shop that Blew Up, eh?"	Se tourner vers Snell. « Le Salon de Thé qui a Sauté, hein ? »
TS_TeaShopDoor_122	I should leave. Pour l'instant.	Je devrais partir. Pour l'instant.
TS_TeaShopDoor_236	"Easy." (Shake off the wood grain from your gloves.)	« Facile. » (Faire tomber les copeaux de bois de tes gants.)
TS_Thal_373	"The right-hand man is reserved for someone special." (Wink at Snell.)	« Le bras droit est réservé à quelqu'un de spécial. » (Faire un clin d'œil à Snell.)
TS_Thal_396	(Elbow Snell.) "See? There's always something."	(Donner un coup de coude à Snell.) « Tu vois ? Il y a toujours quelque chose. »
TS_Viira_209	"Here you go." (Hand her the PPG.)	« Tenez. » (Lui remettre le PPG.)
TS_Viira_274	"I spoke with Alfoz..." (Make a decision.)	« J'ai parlé avec Alfoz... » (Prendre une décision.)
TS_Viira_580	"You are a strong and physically imposing woman." (Attempt to flirt.)	« Vous êtes une femme forte et physiquement imposante. » (Tenter de flirter.)
TS_Xerba_24	(Dance for her.) "I am a Bard! I am a Bard! I am a Bard! I am a Bard! I am a Bard! I am a Bard! I am a Bard!"	(Danser pour elle.) « Je suis un Barde ! Je suis un Barde ! Je suis un Barde ! Je suis un Barde ! Je suis un Barde ! Je suis un Barde ! Je suis un Barde ! »
TU_HiddenHatch_18	"<i>Fuck you</i>?" (Turn to Snell.)	« <i>Va te faire foutre</i> ? » (Se tourner vers Snell.)
TU_Statue_25	(Glance at Snell and mutter.) "I'm average."	(Jeter un œil à Snell et marmonner.) « Je suis moyen. »
UP_Brr_196	"Ah oui. You're scared of mushrooms."	« Ah oui. T'as peur des champignons. »
UP_Brr_224	(Turn to Ettir.) "Do you speak mushroom?"	(Se tourner vers Ettir.) « Vous parlez champignon ? »
UP_Brr_308	"I don't want to spend any more spell slots to talk to you, but, uh..." (Lui lever le pouce.)	« Je veux plus dépenser d'emplacements de sort pour te parler, mais, euh... » (Lui lever le pouce.)
UP_Brr_351	"Your spores saved me in the fight against the troll. Merci."	« Vos spores m'ont sauvé dans le combat contre le troll. Merci. »
UP_Brr_382	"That's bad." (Get nervous.)	« C'est mauvais. » (Devenir nerveux.)
UP_Brr_383	"Ah oui. I saw it before. It was just sleeping."	« Ah oui. Je l'ai vu avant. Il dormait juste. »
UP_Brr_455	(Glance at Snell and whisper.) "That's not a sexual thing, is it?"	(Jeter un œil à Snell et chuchoter.) « C'est pas un truc sexuel, hein ? »
UP_Brr_489	(Gesture towards Snell.) "I see. Just like my goblin sidekick!"	(Faire un geste vers Snell.) « Je vois. Comme mon acolyte gobelin ! »
UP_Gourgalash_32	(Whisper.) "What... what do we do?"	(Chuchoter.) « Qu'est-ce... qu'est-ce qu'on fait ? »
UP_Gourgalash_38	(Whisper.) "Can you deal with this thing, Ettir?"	(Chuchoter.) « Vous pouvez gérer ce truc, Ettir ? »
UP_Gourgalash_62	(Yell at the troll.) "<shake>Wake up, foul beast!</shake>"	(Crier au troll.) « <shake>Réveille-toi, infâme bête !</shake> »
UP_Gourgalash_68	(Clear your throat and speak politely.) "<b>Good morning, troll!</b>"	(S'éclaircir la gorge et parler poliment.) « <b>Bonjour, troll !</b> »
UP_Gourgalash_124	(Yell at the troll.) "<shake>Wake up, you foul beast!</shake>"	(Crier au troll.) « <shake>Réveille-toi, infâme bête !</shake> »
UP_Gourgalash_125	(Clear your throat and say sternly.) "<b>Good morning, troll!</b>"	(S'éclaircir la gorge et parler sévèrement.) « <b>Bonjour, troll !</b> »
UP_Gourgalash_225	(Yell.) "I AM URTH, RETURNED. TIME TO FINISH THE JOB!"	(Crier.) « JE SUIS URTH, DE RETOUR. IL EST TEMPS DE FINIR LE BOULOT ! »
UP_Gourgalash_538	"<b>Oui</b>. And, now, I lift my axe."	« <b>Oui</b>. Et, maintenant, je lève ma hache. »
UP_Gourgalash_670	"A troll king." (Grab the tusk.)	« Un roi des trolls. » (Saisir la défense.)
UP_Labyrinth_393	"The middle one!" (Point it out to Snell.)	« Celui du milieu ! » (Le montrer à Snell.)
UP_Meri_106	"I'm a great Barbarian of Askanii. Be very afraid." (Flex.)	« Je suis un grand Barbare d'Askanii. Aie très peur. » (Bomber le torse.)
UP_Meri_577	"Yes, Snell. We <i>must</i> follow him through the crack." (Glare at the Pillar.)	« Oui, Snell. On <i>doit</i> le suivre à travers la fissure. » (Fixer le Pilier d'un regard noir.)
UP_Meri_578	"I have to go after him. Through the crack." (Glare at the Pillar.)	« Je dois le poursuivre. À travers la fissure. » (Fixer le Pilier d'un regard noir.)
UP_Meri_700	(Turn back to Meriadoc.) "We have decided to go into the Pillar of Jor."	(Se retourner vers Meriadoc.) « On a décidé d'entrer dans le Pilier de Jor. »
UP_Meri_1076	"C'est vrai. We should make sure Ettir gets some questions as well."	« C'est vrai. On devrait s'assurer qu'Ettir reçoive aussi quelques questions. »
UP_Nessan_51	"Bonne question. I got some good info from that Freestrider fellow that Gourgalash had imprisoned."	« Bonne question. J'ai eu de bonnes infos de cet Errant que Gourgalash avait emprisonné. »
UP_Nessan_186	(Gesture towards Snell.) "You're still..."	(Faire un geste vers Snell.) « Tu es toujours... »
WL_Avikness_25	"Cool. Can you let me into that door over there?" (Point down the stairs.)	« Cool. Tu peux me laisser entrer par cette porte là-bas ? » (Pointer en bas des escaliers.)
WL_Avikness_76	(Hold it out) "Here. Draw a card."	(Le tendre) « Tenez. Tirez une carte. »
WL_Bookbinder_221	Just say-	Dis juste —
VL_Meeting_17	"No. It's mine." (Clutch it to your chest like a baby.)	« Non. C'est à moi. » (Le serrer contre ta poitrine comme un bébé.)
VL_Meeting_174	"And... what about him?" (Point to The Duck.)	« Et... lui alors ? » (Pointer Le Canard.)
VL_Meeting_288	<u>"I'll swear an oath to you. I will serve."</u>	<u>« Je vous prêterai serment. Je servirai. »</u>
VL_Meeting_289	"You will not be permitted in my city." (Attack.)	« Vous ne serez pas autorisé dans ma cité. » (Attaquer.)
VL_Meeting_535	Trempe-toi. Take the hits.	Trempe-toi. Encaisser les coups.
VL_Meeting_628	Trick the "helpers" first.	Tromper d'abord les « aides ».
VL_Meeting_727	(Look to the dark knight.) "<i>This</i> is what actual manhood looks like."	(Regarder le chevalier noir.) « <i>Voilà</i> à quoi ressemble la vraie virilité. »
VL_Meeting_729	(Turn to Kraaid.) "Oh, and your slogdogs are fucking disgusting."	(Se tourner vers Kraaid.) « Oh, et tes chiens-de-vase sont putain de dégoûtants. »
VL_Meeting_778	Those words... those are last words you hear.	Ces mots... ce sont les derniers mots que tu entends.
VL_Ost_63	"You know who this is?" (Point at Snell.)	« Tu sais qui c'est ? » (Pointer Snell.)
VL_Pinja_247	Parfait. What did I learn?	Parfait. Qu'ai-je appris ?
WL_Rollo_Modissa_29	Ask Snell, "The AY?"	Demander à Snell : « Le AY ? »
WL_Rollo_Modissa_69	"I'm a Bard, duh." (Show them some dance moves.)	« Je suis un Barde, évidemment. » (Leur montrer quelques pas de danse.)
WL_Rollo_Modissa_506	"So you're both doing something illegal. Then... let's compromise, right?" (Rompre le sort.)	« Donc vous faites tous les deux un truc illégal. Alors... compromis, non ? » (Rompre le sort.)
WL_TrashBin_21	"Hold on, I'm just gonna-" (Try to cast Comprehend Languages.)	« Attendez, je vais juste — » (Tenter de lancer Compréhension des Langues.)
WL_TrashBin_22	"Hold on, I'm just gonna-" (Essayer de lancer Druidisme.)	« Attendez, je vais juste — » (Essayer de lancer Druidisme.)
VL_Visken_126	"I have some other questions. Je crois."	« J'ai d'autres questions. Je crois. »
VL_Visken_133	I can't just tell him I'm suspicious of him and his helpers. Que devrais-je faire ?	Je peux pas juste lui dire que je le soupçonne, lui et ses aides. Que devrais-je faire ?
VL_Visken_162	(Turn around and whisper to Snell.) "What can you tell me about this guy?"	(Se retourner et chuchoter à Snell.) « Qu'est-ce que tu peux me dire sur ce gars ? »
VL_Visken_199	"I found this Mimic in the City Below." (Show him your scarf.)	« J'ai trouvé ce Mimique dans la Cité Inférieure. » (Lui montrer ton écharpe.)
VL_Visken_450	"Yes! Here you go." (Le lui tendre.)	« Oui ! Tenez. » (Le lui tendre.)
VL_Visken_724	"I have what I need." (Give back the paper.)	« J'ai ce qu'il me faut. » (Rendre le papier.)
VL_Visken_796	"You called me 'Cleric'." (Make air quotes.)	« Vous m'avez appelé 'Clerc'. » (Faire des guillemets aériens.)
VL_Visken_1470	(Glance at your companion. Whisper: "Not with him around.")	(Jeter un œil à ton compagnon. Chuchoter : « Pas avec lui dans le coin. »)
